book_id,chap_num,n,book_chap_sig
1,1.0,4745,0.0002265218500682968
1,2.0,3544,0.00021726896996780593
1,3.0,3964,0.00021595236302615977
1,4.0,3807,0.0003097935169425367
1,5.0,6774,0.00029357419062676395
1,6.0,6538,0.0002094801938970332
1,7.0,4578,0.00018437583828980622
1,8.0,3136,0.00022223888196689574
1,9.0,5093,0.00021397181363902478
1,10.0,4425,0.00016142055153317103
1,11.0,3433,0.00022795628667743035
1,12.0,5648,0.00020627808221345063
1,13.0,3336,0.0001876877001503982
1,14.0,3629,0.0002016488592335482
1,15.0,5306,0.00022507827022082605
1,16.0,6690,0.0001744805664834292
1,17.0,5631,0.0002394502584762937
2,1.0,2650,0.0002254792797126911
2,2.0,2963,0.0002526267000769775
2,3.0,4683,0.0002127917107564243
2,4.0,5923,0.00026165090721445806
2,5.0,5535,0.00018107221962457073
2,6.0,4726,0.0002874354978009699
2,7.0,4721,0.00025136361445734546
2,8.0,4502,0.00027280637926688244
2,9.0,5313,0.00025093947812928583
2,10.0,5449,0.00023780624683290442
2,11.0,6185,0.0002746739278063825
2,12.0,5617,0.00024587038556962807
2,13.0,5670,0.00020885071924604142
2,14.0,4053,0.00021017153523656353
2,15.0,4800,0.00016410511526943923
2,16.0,5856,0.0001914815656516379
2,17.0,5617,0.00021751582048177846
2,18.0,3835,0.00023745049833388533
3,1.0,3793,0.0001983134677866309
3,2.0,3998,0.0003208069151378886
3,3.0,4522,0.00028622923678160825
3,4.0,5290,0.00024152153061014005
3,5.0,6770,0.00019284681546726055
3,6.0,6898,0.0002495673022312121
3,7.0,4349,0.0002617092036954563
3,8.0,5186,0.00022050099529284762
3,9.0,5436,0.00017307606659468653
3,10.0,7276,0.0002319687734505724
3,11.0,5769,0.00025030836119321957
3,12.0,4960,0.00025097717499596666
3,13.0,4357,0.00018428315073923396
3,14.0,5708,0.00021873427954613802
3,15.0,5672,0.00020598601255549697
3,16.0,4513,0.00019824257679709487
3,17.0,4338,0.00020559954451224494
3,18.0,2359,0.0002599056316007199
3,19.0,5352,0.00029739935444002074
3,20.0,1983,0.00020829175274372997
3,21.0,7520,0.00016197276003665907
3,22.0,4905,0.00020835729589175245
4,1.0,4228,0.00016809485927692566
4,2.0,2898,0.00022910499501579236
4,3.0,3281,0.00020908079478671926
4,4.0,3079,0.00022767726462068617
4,5.0,3921,0.00024971150583333595
4,6.0,2459,0.00027217531709151406
4,7.0,5402,0.0003353315077169312
4,8.0,5934,0.00024424702458277723
4,9.0,7446,0.00021214777224114954
4,10.0,3319,0.0002701174033966913
4,11.0,3358,0.0002361234466208895
4,12.0,5582,0.0002154747798400364
4,13.0,3995,0.00025343932341602524
4,14.0,5032,0.00023928650233799183
4,15.0,5371,0.00022198599485374995
4,16.0,6266,0.00019296939030127419
4,17.0,4225,0.0002460304528707965
4,18.0,6839,0.00022459311771681132
4,19.0,6607,0.0002071754830402274
4,20.0,7314,0.0002062780944110828
4,21.0,5731,0.00028442525812961305
4,22.0,4630,0.00025942000088544716
4,23.0,8429,0.000276312862967605
4,24.0,6492,0.00027587523506514207
4,25.0,5730,0.00019799274328402818
4,26.0,8215,0.00022735030442330283
4,27.0,7303,0.00022655058477428903
4,28.0,7570,0.00026261686316628467
4,29.0,4539,0.00019676371343898017
4,30.0,6468,0.00018374288708060966
4,31.0,8127,0.000189860870330329
4,32.0,2038,0.00015248816363516168
4,33.0,4076,0.0002481327920480365
4,34.0,2971,0.00018446774088066867
4,35.0,6082,0.00017693421413830977
4,36.0,6323,0.00023043310866435916
4,37.0,5087,0.0002143301661795532
5,1.0,5931,0.0002713381507445086
5,2.0,6276,0.0002661047277738991
5,3.0,5387,0.00023376815152255508
5,4.0,5926,0.0002114346757996135
5,5.0,5616,0.0002628659023440384
5,6.0,6998,0.0002548128238398468
5,7.0,4679,0.0002158851735180225
5,8.0,4291,0.00023741568204338766
5,9.0,8351,0.00024708802542725526
5,10.0,5999,0.00024360547541750298
5,11.0,6097,0.00023272880395297738
5,12.0,8607,0.00029009085786254035
5,13.0,9240,0.00024513862247295306
5,14.0,8380,0.00022242491218165878
5,15.0,7067,0.0002985717732176194
5,16.0,6133,0.00025522858142892083
5,17.0,6802,0.00025135721870887036
5,18.0,7087,0.00023401819518036979
5,19.0,6886,0.00022572258758624605
5,20.0,6269,0.00032217614737319977
5,21.0,7568,0.0002591327270090671
5,22.0,8220,0.00023015765714282324
5,23.0,7661,0.00025947298891471196
5,24.0,8272,0.00024331833285897098
5,25.0,8324,0.00026443846212474454
5,26.0,8766,0.00022723687068378686
5,27.0,7685,0.00025611548295410955
5,28.0,8213,0.0002369926866660721
5,29.0,7684,0.00027170145507828447
5,30.0,8520,0.00027662120772674667
5,31.0,8179,0.00023432562723930983
5,32.0,6428,0.00023320462509150426
5,33.0,3949,0.00024761473860813587
5,34.0,5334,0.00014881745438134097
5,35.0,7934,0.0001883824381866986
5,36.0,3882,0.00017505320113154956
5,37.0,8200,0.00022048970257231042
5,38.0,7781,0.0002319287362375109
6,1.0,5261,0.00021569249054442671
6,2.0,5004,0.00023503263160858621
6,3.0,4831,0.0002367252525743411
6,4.0,6125,0.00028036582477297987
6,5.0,6207,0.00026878892046662534
6,6.0,6098,0.0002783068999060171
6,7.0,6759,0.00029860690197096486
6,8.0,4394,0.0002070408084606757
6,9.0,6088,0.00028595492896434544
6,10.0,6123,0.00028348918620055036
6,11.0,5266,0.00027365502770865377
6,12.0,5546,0.0002382339999020186
6,13.0,5561,0.00033811596278684927
6,14.0,6702,0.00025244535297823503
6,15.0,6051,0.0003268653202323499
6,16.0,6363,0.0003177095322792467
6,17.0,6567,0.00025172285158774174
6,18.0,6709,0.00029217050314988614
6,19.0,6438,0.00028519411066803995
6,20.0,6768,0.0002709613993360621
6,21.0,5976,0.00020935549141836327
6,22.0,6004,0.00026336278916689855
6,23.0,5934,0.0002469228008388561
6,24.0,6081,0.00023049770058061934
6,25.0,5218,0.00024921115834268304
6,26.0,6428,0.000170420694535772
6,27.0,4637,0.00019170316136645445
6,28.0,3648,0.00016282951843386858
6,29.0,5687,0.0002179577637668197
6,30.0,5616,0.00018544836857802967
7,1.0,3201,0.0001996991591149531
7,2.0,4192,0.00026724668232883396
7,3.0,3454,0.0002912020883891897
7,4.0,5626,0.0002115825239496976
7,5.0,6206,0.0002636169118600407
7,6.0,6887,0.0002524842266407253
7,7.0,6773,0.00022520398903589633
7,8.0,6349,0.0003705707876725023
7,9.0,4272,0.00018380402734181724
7,10.0,6813,0.00021600724926525825
7,11.0,5743,0.00024072866413045978
7,12.0,6272,0.0002179471684329237
7,13.0,5954,0.00020411430194804123
7,14.0,4344,0.00021451313216233118
7,15.0,7227,0.00022990615131295296
7,16.0,5314,0.00021582067193797708
7,17.0,5527,0.00016028263604605928
7,18.0,3545,0.00026572605378881106
7,19.0,6881,0.0001856204373444639
7,20.0,4625,0.0002314615922181369
7,21.0,4934,0.00019087453681059977
7,22.0,6026,0.00021312402327049846
7,23.0,8048,0.00021532473121450128
7,24.0,6878,0.00018757468919180657
7,25.0,4484,0.00020915105253387797
7,26.0,6958,0.00019867085921585989
7,27.0,2669,0.00015860191093561044
7,28.0,4706,0.00020389377394111844
7,29.0,4730,0.00023854630067809168
7,30.0,5025,0.0002124049036945911
7,31.0,8143,0.00019462989800876512
7,32.0,5624,0.0001618327088973266
7,33.0,8440,0.00023345985499854515
7,34.0,3928,0.00017277036654788193
7,35.0,5057,0.00025092553584405564
7,36.0,7308,0.00018295440072998008
7,37.0,1696,0.0002758951380706218
